,siret
63286855,79926064100011
33522911,42855988400286
67452208,82319494900025
69556239,83918540200022
36727396,43813620200027
20539140,38997474200030
59629741,77545091900029
58372567,71203015400397
6535290,32379861100014
59025355,75181761000031
68857774,83287138800019
71533315,87838711700020
60383815,77961076500017
50009888,50234955800010
5075917,31812018500034
4646516,31622252000025
57947850,64291203400013
27681200,41057424800028
15265433,35287765800026
18134429,38257819300015
24119595,40013325200017
5956640,32167686800011
69299858,83756734600023
35131942,43254384100048
6976525,32534501500011
45252654,48369187900017
28375201,41222932000012
20207054,38922205000012
54596406,52526188900014
68016434,82806927800012
69593587,83943217600015
25312339,40285718900029
940340,21420127900020
36206699,43492173000017
17566611,38124861600017
35805151,43402478200014
7857797,32832664000021
59152748,75239949300010
38426218,44194340400034
58153286,67654171700010
52861816,51799769800025
50479896,50429791200041
44598107,48171623100016
27444346,41006568400012
12560072,34391074100036
38402811,44188945800010
30949054,42031278700047
51129003,50893850300010
29822966,41767956000033
33555380,42862961200014
61026771,78448214300020
48202779,49455608700018
7186594,32608852300013
59910616,77590172100016
35578170,43355755000020
30333664,41887053100013
46422890,48915781800027
53213830,51944386500034
65196750,81039183900018
54268825,52388832900019
63274315,79920447400024
51368353,50992212600032
22101553,39357453800012
9324124,33281988700016
7099421,32577707600010
57487594,57201734100064
25460208,40317755300019
73735071,90254847800012
47099506,49121947300015
66118526,81476439500012
18770037,38397832700013
56932221,53940316200024
52771838,51762323700016
37207241,43924484900014
72396564,88771361800221
45471125,48435283600023
9638480,33376866100014
57046380,53992275700015
56915650,53933019100021
56349674,53491041900017
26451102,40759803600017
2409456,30398554300014
45633313,48483763800010
20042396,38885590000055
61153180,78561125200020
56182785,53418786900019
2867923,30677922400022
32674824,42419736600018
7813386,32818218300025
64164330,80346190400010
53030814,51870387100013
39851472,44510807900010
65917209,81381077700017
73499320,90013003000019
56641453,53811037000029
27138748,40929450100039
7331813,32658499200050
23119635,39790511800022
53127385,51908612800013
12393122,34346186900020
22166304,39371874700032
73862758,90395750400017
5414618,31953896300020
9401220,33305720600042
7845400,32828674500018
17329007,38068877000029
41344393,45055924000012
69040015,83397450400023
51337589,50979707200022
59265607,75289469100019
13948238,34952814100014
22651726,39482518600015
68050374,82824695900013
986540,21500649500323
72992310,89327834100019
53340191,51997136000010
49667953,50114387900010
41047729,44987525100018
50395950,50394557800014
72056805,88274579700010
44256359,48070897300031
15402638,35321751600049
22164221,39371425800026
35794772,43400553400012
67383554,82284810700014
11672249,34154387400018
65116466,81000222000020
55005223,52902162800019
40553139,44874434200016
45227111,48361662900018
1485302,26050269500018
48883281,49869883600018
32407381,42359118900018
58795963,75077500900020
59056367,75196205100015
73967536,90515340900016
32268441,42328145000019
34787130,43176897700016
50970602,50826542800047
29993490,41808270700013
34200610,43011779600010
12333237,34330135400035
5968841,32172544200016
62184810,79225917800012
66000682,81420791600010
32009300,42269536100010
10790266,33909066400022
28057086,41147089100010
67779015,82485934200019
61690643,79001150600017
37622356,44016660100011
44467857,48133136100024
68440487,83041929700015
64653471,80773957800019
41715706,45139393800068
17829268,38185835600037
70265744,84396206900012
6468716,32357055600049
63637144,80092243700010
47008711,49095181100010
58552023,73920106900039
47934365,49373347100012
68983892,83363724200011
66699981,81946792900025
69773495,84061782300017
7314379,32652874200017
26923314,40875955300014
50418161,50404332400020
15663068,35386019000068
57985290,65201966200012
20215453,38924079700016
45907471,48762602000019
73838833,90368863800019
70729480,84928117500018
65180063,81031208200011
6187332,32255376900017
72150479,88359751000014
57515360,57210217612826
30494783,41927584700038
54773886,52802311200014
55718143,53214324500019
61820255,79059120000023
72072334,88288515500011
